course_id,course_name,section_id,session,days/times,dates,instructor,status
¥ANTHUA331126247¥,¥ANTH-UA 331 - Human Rights & Culture¥,¥Section: 001-LEC (24591)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 3:30pm - 4:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Jayati Narain, Paula Fernandez-Wulff¥,¥Status: Open¥
¥ANTHUA400126250¥,¥ANTH-UA 400 - Transnationalism¥,¥Section: 001-SEM (10051)¥,¥Session: Regular Academic Session¥,¥Days/Times: We 2:00pm - 4:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Jerome O Whitington¥,¥Status: Open¥
¥ANTHUA703231086¥,¥ANTH-UA 703 - Islam in the World¥,¥Section: 001-SEM (19966)¥,¥Session: Regular Academic Session¥,¥Days/Times: Th 2:00pm - 4:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Michael C Gilsenan¥,¥Status: Open¥
¥ANTHUA950126259¥,¥ANTH-UA 950 - Honors Research I¥,¥Section: 001-IND (7912)¥,¥Session: Regular Academic Session¥,¥Days/Times: We 12:30pm - 1:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Sally E Merry¥,¥Status: Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥Section: 001-IND (7913)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Pam Crabtree¥,¥Status: Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥Section: 002-IND (7914)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Anne M Rademacher¥,¥Status: Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥Section: 003-IND (7915)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Terry Harrison¥,¥Status: Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥Section: 004-IND (7916)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Emily S Goldmann¥,¥Status: Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥Section: 005-IND (10810)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Elayne Mary Oliphant¥,¥Status: Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥Section: 006-IND (10811)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Bruce M Grant¥,¥Status: Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥Section: 007-IND (10817)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Scott Alan Williams¥,¥Status: Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥Section: 008-IND (10818)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Staff¥,¥Status: Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥Section: 001-IND (7917)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Staff¥,¥Status: Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥Section: 002-IND (7918)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Staff¥,¥Status: Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥Section: 003-IND (10819)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Staff¥,¥Status: Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥Section: 004-IND (10820)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Staff¥,¥Status: Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥Section: 005-IND (10822)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Staff¥,¥Status: Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥Section: 006-IND (10823)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Staff¥,¥Status: Open¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥Section: 007-IND (10824)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Pam Crabtree¥,¥Status: Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥Section: 001-LEC (9409)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 9:30am - 10:45am¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Carol H Krinsky¥,¥Status: Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥Section: 002-LEC (9411)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 9:30am - 10:45am¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Carol H Krinsky¥,¥Status: Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥Section: 003-LEC (9410)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 9:30am - 10:45am¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Carol H Krinsky¥,¥Status: Open¥
