¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥,¥wait list total¥
¥MAUY4434171517¥,¥MA-UY 4434 - Applied Complex Variables¥,¥ARC-RCT (20316)¥,¥¥,¥Regular Academic Session¥,¥Fr 3:00pm - 4:15pm¥,¥01/27/2020 - 05/11/2020¥,¥Ajeet S Gary¥,¥Open¥,¥¥
¥MAUY4444226967¥,¥MA-UY 4444 - Intro to Math Modeling¥,¥A-LEC (17214)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥01/27/2020 - 05/11/2020¥,¥Kendall S Smith¥,¥Closed¥,¥¥
¥MAUY4444226967¥,¥MA-UY 4444 - Intro to Math Modeling¥,¥ARC-RCT (17215)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:30am - 10:45am¥,¥01/27/2020 - 05/11/2020¥,¥Wenjun Zhao¥,¥Closed¥,¥¥
¥MAUY4474226980¥,¥MA-UY 4474 - Chaos and Dynamical Systems¥,¥A-LEC (17222)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥01/27/2020 - 05/11/2020¥,¥Olivier Ml Pauluis¥,¥Open¥,¥¥
¥MAUY4474226980¥,¥MA-UY 4474 - Chaos and Dynamical Systems¥,¥ARC-RCT (17223)¥,¥¥,¥Regular Academic Session¥,¥Fr 12:30pm - 1:45pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MAUY4634226981¥,¥MA-UY 4634 - Vector Analysis¥,¥A-LEC (17220)¥,¥¥,¥Regular Academic Session¥,¥MoWe 2:00pm - 3:15pm¥,¥01/27/2020 - 05/11/2020¥,¥Chenlin Gu¥,¥Open¥,¥¥
¥MAUY4634226981¥,¥MA-UY 4634 - Vector Analysis¥,¥ARC-RCT (17221)¥,¥¥,¥Regular Academic Session¥,¥Fr 2:00pm - 3:15pm¥,¥01/27/2020 - 05/11/2020¥,¥Alexander John Payne¥,¥Open¥,¥¥
¥MAUY4644232016¥,¥MA-UY 4644 - HONORS ANALYSIS I¥,¥A-LEC (23766)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥01/27/2020 - 05/11/2020¥,¥Antonio De Rosa¥,¥Open¥,¥¥
¥MAUY4644232016¥,¥MA-UY 4644 - HONORS ANALYSIS I¥,¥ARC-RCT (23767)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:30am - 10:45am¥,¥01/27/2020 - 05/11/2020¥,¥Gavin Scot Stewart¥,¥Open¥,¥¥
¥MAUY4654232017¥,¥MA-UY 4654 - HONORS ANALYSIS II¥,¥A-LEC (19913)¥,¥¥,¥Regular Academic Session¥,¥MoWe 2:00pm - 3:15pm¥,¥01/27/2020 - 05/11/2020¥,¥Gerard A Ben Arous¥,¥Open¥,¥¥
¥MAUY4654232017¥,¥MA-UY 4654 - HONORS ANALYSIS II¥,¥ARC-RCT (19914)¥,¥¥,¥Regular Academic Session¥,¥Fr 3:30pm - 4:45pm¥,¥01/27/2020 - 05/11/2020¥,¥Tristan Jean-Bernard Leger¥,¥Open¥,¥¥
¥MAUY4674226971¥,¥MA-UY 4674 - Differential Geometry¥,¥A-LEC (17224)¥,¥¥,¥Regular Academic Session¥,¥MoWe 2:00pm - 3:15pm¥,¥01/27/2020 - 05/11/2020¥,¥Deane Yang¥,¥Open¥,¥¥
¥MAUY4674226971¥,¥MA-UY 4674 - Differential Geometry¥,¥ARC-RCT (17225)¥,¥¥,¥Regular Academic Session¥,¥Mo 8:00am - 9:15am¥,¥01/27/2020 - 05/11/2020¥,¥Kai Shao¥,¥Open¥,¥¥
