¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥
¥ANTHUA36206628¥,¥ANTH-UA 36 - Global Biocultures: Anthropological Perspectives on Public Health¥,¥001-SEM (21488)¥,¥¥,¥Regular Academic Session¥,¥TuTh 3:30pm - 4:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Melissa Maldonado-Salcedo, Teresa de Jesus Martinez Chavez¥,¥Open¥
¥ANTHUA54126206¥,¥ANTH-UA 54 - Primate Behavior and Ecology¥,¥001-LEC (19128)¥,¥¥,¥Regular Academic Session¥,¥MoWe 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Jenna Lawrence¥,¥Open¥
¥ANTHUA80126211¥,¥ANTH-UA 80 - Emerging Diseases¥,¥001-SEM (19131)¥,¥¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Paola Cerrito, Todd Disotell¥,¥Closed¥
¥ANTHUA105126217¥,¥ANTH-UA 105 - Ethnographies of Asia¥,¥001-LEC (19133)¥,¥¥,¥Regular Academic Session¥,¥Tu 2:00pm - 4:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Jerome O Whitington¥,¥Open¥
¥ANTHUA123126223¥,¥ANTH-UA 123 - Media, Culture, and Society¥,¥001-LEC (19130)¥,¥¥,¥Regular Academic Session¥,¥TuTh 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Tejaswini Ganti¥,¥Open¥
¥ANTHUA210126227¥,¥ANTH-UA 210 - Prehistoric Hunters and Gatherers¥,¥001-LEC (19127)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Justin Pargeter¥,¥Open¥
¥ANTHUA211126228¥,¥ANTH-UA 211 - Early Cities and States¥,¥001-LEC (19132)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Jesse L Wolfhagen¥,¥Open¥
¥ANTHUA232231803¥,¥ANTH-UA 232 - Ethnicity & The Media¥,¥001-SEM (22918)¥,¥¥,¥Regular Academic Session¥,¥MoWe 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Arlene M Davila¥,¥Closed¥
¥ANTHUA326126243¥,¥ANTH-UA 326 - Introduction to Forensic Anthropology¥,¥001-LEC (19129)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Esther Heewon Choo, Jennifer Lila Trowbridge¥,¥Closed¥
¥ANTHUA331126247¥,¥ANTH-UA 331 - Human Rights & Culture¥,¥001-LEC (24591)¥,¥¥,¥Regular Academic Session¥,¥MoWe 3:30pm - 4:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Jayati Narain, Paula Fernandez-Wulff¥,¥Open¥
